Category: All categories,,,,,
,,,,,
,Minecraft: (United States),Fortnite: (United States),World of Warcraft: (United States),Overwatch: (United States),Rocket League: (United States)
7/29/18,27,82,15,7,3
8/5/18,26,84,15,7,3
8/12/18,24,76,22,6,2
8/19/18,22,88,20,6,2
8/26/18,20,80,18,7,3
9/2/18,19,75,17,5,3
9/9/18,18,68,14,5,2
9/16/18,19,71,13,5,2
9/23/18,18,100,12,4,2
9/30/18,19,78,10,5,2
10/7/18,19,79,9,7,2
10/14/18,18,72,9,4,2
10/21/18,18,75,8,5,2
10/28/18,17,67,9,8,2
11/4/18,18,66,9,8,2
11/11/18,19,60,8,6,2
11/18/18,25,65,8,7,3
11/25/18,20,66,7,5,2
12/2/18,21,91,7,6,2
12/9/18,23,73,8,6,2
12/16/18,26,75,7,5,2
12/23/18,28,91,8,5,3
12/30/18,25,77,8,5,3
1/6/19,21,64,7,7,2
1/13/19,22,69,6,5,2
1/20/19,25,60,7,6,3
1/27/19,26,82,7,5,3
2/3/19,23,66,7,4,2
2/10/19,23,75,7,4,2
2/17/19,26,66,6,5,3
2/24/19,24,79,6,6,2
3/3/19,24,55,7,4,2
3/10/19,25,55,8,4,2
3/17/19,25,50,7,4,2
3/24/19,26,50,7,3,2
3/31/19,24,50,7,4,2
4/7/19,24,49,7,4,2
4/14/19,26,50,7,5,2
4/21/19,29,53,7,4,2
4/28/19,31,49,7,4,2
5/5/19,33,62,7,4,2
5/12/19,42,49,10,4,2
5/19/19,43,46,11,5,2
5/26/19,42,43,11,4,2
6/2/19,41,42,10,5,2
6/9/19,40,39,9,4,2
6/16/19,40,42,10,4,3
6/23/19,48,44,11,4,3
6/30/19,56,42,11,4,3
7/7/19,60,41,10,4,2
7/14/19,66,47,9,5,2
7/21/19,68,44,9,7,3
